[1026/123345.926:INFO:CONSOLE(21172)] "THREE.WebGLRenderer 92", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.1.202408021042/static/build/three.js (21172)
[1026/123346.683:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.1.202408021042/static/libs/ColladaLoader.js (3660)
[1026/123346.706:INFO:CONSOLE(255)] "Loaded: file:C:/Users/SSidorov/Personal/unik_7/IMS/prak6/Airport/3d/table.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.1.202408021042/static/init.js (255)
[1026/123346.706:INFO:CONSOLE(271)] "load end: file:C:/Users/SSidorov/Personal/unik_7/IMS/prak6/Airport/3d/table.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.1.202408021042/static/init.js (271)
[1026/123346.813:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.1.202408021042/static/libs/ColladaLoader.js (3660)
[1026/123346.814:INFO:CONSOLE(255)] "Loaded: file:C:/Users/SSidorov/Personal/unik_7/IMS/prak6/Airport/3d/detector.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.1.202408021042/static/init.js (255)
[1026/123346.814:INFO:CONSOLE(271)] "load end: file:C:/Users/SSidorov/Personal/unik_7/IMS/prak6/Airport/3d/detector.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.1.202408021042/static/init.js (271)
[1026/123346.835:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.1.202408021042/static/libs/ColladaLoader.js (3660)
[1026/123346.837:INFO:CONSOLE(255)] "Loaded: file:C:/Users/SSidorov/Personal/unik_7/IMS/prak6/Airport/3d/xray.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.1.202408021042/static/init.js (255)
[1026/123346.838:INFO:CONSOLE(271)] "load end: file:C:/Users/SSidorov/Personal/unik_7/IMS/prak6/Airport/3d/xray.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.1.202408021042/static/init.js (271)
[1026/123346.869:INFO:CONSOLE(19709)] "THREE.WebGLRenderer: image is not power of two (400x400). Resized to 256x256 [object HTMLImageElement]", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.1.202408021042/static/build/three.js (19709)
[1026/123542.562:ERROR:gpu_init.cc(523)] Passthrough is not supported, GL is disabled, ANGLE is 
